Brand,Model,TopSpeed_KmH,Range_Km,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Seats,PriceEuro
Tesla ,Model 3 Long Range Dual Motor,233,450,940,Yes,AWD,Type 2 CCS,Sedan,5,55480
Volkswagen ,ID.3 Pure,160,270,250,Yes,RWD,Type 2 CCS,Hatchback,5,30000
Polestar ,2,210,400,620,Yes,AWD,Type 2 CCS,Liftback,5,56440
BMW ,iX3 ,180,360,560,Yes,RWD,Type 2 CCS,SUV,5,68040
Honda ,e ,145,170,190,Yes,RWD,Type 2 CCS,Hatchback,4,32997
Lucid ,Air ,250,610,620,Yes,AWD,Type 2 CCS,Sedan,5,105000
Volkswagen ,e-Golf ,150,190,220,Yes,FWD,Type 2 CCS,Hatchback,5,31900
Peugeot ,e-208 ,150,275,420,Yes,FWD,Type 2 CCS,Hatchback,5,29682
Tesla ,Model 3 Standard Range Plus,225,310,650,Yes,RWD,Type 2 CCS,Sedan,5,46380
Audi ,Q4 e-tron ,180,400,540,Yes,AWD,Type 2 CCS,SUV,5,55000
Mercedes ,EQC 400 4MATIC,180,370,440,Yes,AWD,Type 2 CCS,SUV,5,69484
Nissan ,Leaf ,144,220,230,Yes,FWD,Type 2 CHAdeMO,Hatchback,5,29234
Hyundai ,Kona Electric 64 kWh,167,400,380,Yes,FWD,Type 2 CCS,SUV,5,40795
BMW ,i4 ,200,450,650,Yes,RWD,Type 2 CCS,Sedan,5,65000
Hyundai ,IONIQ Electric,165,250,210,Yes,FWD,Type 2 CCS,Liftback,5,34459
Volkswagen ,ID.3 Pro S,160,440,590,Yes,RWD,Type 2 CCS,Hatchback,4,40936
Porsche ,Taycan Turbo S,260,375,780,Yes,AWD,Type 2 CCS,Sedan,4,180781
Volkswagen ,e-Up! ,130,195,170,Yes,FWD,Type 2 CCS,Hatchback,4,21421
MG ,ZS EV,140,220,260,Yes,FWD,Type 2 CCS,SUV,5,30000
Mini ,Cooper SE ,150,185,260,Yes,FWD,Type 2 CCS,Hatchback,4,31681
Opel ,Corsa-e ,150,275,420,Yes,FWD,Type 2 CCS,Hatchback,5,29146
Tesla ,Model Y Long Range Dual Motor,217,425,930,Yes,AWD,Type 2 CCS,SUV,7,58620
Skoda ,Enyaq iV 50,160,290,230,Yes,RWD,Type 2 CCS,SUV,5,35000
Audi ,e-tron GT ,240,425,850,Yes,AWD,Type 2 CCS,Sedan,4,125000
Tesla ,Model 3 Long Range Performance,261,435,910,Yes,AWD,Type 2 CCS,Sedan,5,61480
Volkswagen ,ID.4 ,160,420,560,Yes,RWD,Type 2 CCS,SUV,5,45000
Volkswagen ,ID.3 Pro,160,350,490,Yes,RWD,Type 2 CCS,Hatchback,5,33000
Volvo ,XC40 P8 AWD Recharge,180,375,470,Yes,AWD,Type 2 CCS,SUV,5,60437
BMW ,i3 120 Ah,150,235,270,Yes,RWD,Type 2 CCS,Hatchback,4,38017
Peugeot ,e-2008 SUV ,150,250,380,Yes,FWD,Type 2 CCS,SUV,5,34361
Audi ,e-tron 50 quattro,190,280,450,Yes,AWD,Type 2 CCS,SUV,5,67358
Kia ,e-Niro 64 kWh,167,370,350,Yes,FWD,Type 2 CCS,SUV,5,38105
Renault ,Zoe ZE50 R110,135,315,230,Yes,FWD,Type 2 CCS,Hatchback,5,31184
